Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,451.0,0.7146229869999843,0.7568729680001525,0.0306542992283854,0.9975058787508624,4.540017441869234
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,317.0,0.5393995459999132,0.5821825779999017,0.0306543052721544,0.9975060754180595,5.902300422326632
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,183.0,0.5033069999999498,0.5460610390000511,0.0306542977508812,0.9975058306721537,6.292733285444497
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,92.0,1.078306657000212,1.120819307000147,0.0306542978353919,0.997505833422173,3.0658077127498804
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,717.0,1.5611106890000883,1.5970902809999643,0.0306542912022295,0.9975056175758268,2.151548047646095
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,720.0,1.6460025549999957,1.688969113999974,0.0306543373010829,0.9975071176550465,2.034505218311576
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,530.0,1.5493974510000044,1.591995929999939,0.0306543313222022,0.9975069230993464,2.1584329527778117
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,731.0,1.6034944120001455,1.646208423999724,0.0306542929645944,0.997505674924042,2.087352018070224
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,534.0,1.3859099239998611,1.428394292000121,0.0306542979471604,0.9975058370591747,2.405649823193032
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q320,8192.0,10609.0,320.0,410.0,1.2893763750003018,1.3315191630003935,0.0306543021333178,0.9975059732787824,2.5806736932399756
