dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,epsilon_T,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,eta_eig,eta_eig_sq,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.86177646740055,6565.2710986569,65652.710986569,65652.710986569,1.0538041945128632e-14,1.649235389412571e-15,0.8145760721099663,0.663534177254101,10915840.0,290.0,290.0,290.0,cupy,998,998.0,0.2364738219998798,0.239824425000279,1.929665657999976,2.0110048649999044,0.147243217000323,2.1582480820002274,0.0284774641678713,0.0286152587042114
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.861776467400549,2718.6302328394645,27186.30232839464,27186.30232839464,2.3296415598963542e-14,2.6613127773600045e-15,0.9063959684105004,0.8215536515508086,16373760.0,418.0,418.0,418.0,cupy,691,691.0,0.3567282389999491,0.3600787069999569,1.546618661000139,1.6283789610001804,0.1742058049999286,1.802584766000109,0.0284774966919361,0.0286152127589178
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131226,6566.31480984663,65663.14809846629,65663.14809846629,9.936129135834116e-15,1.924986052547645e-15,0.6657532529925045,0.4432273938701017,21729280.0,290.0,290.0,290.0,cupy,1217,1217.0,0.5497841090000293,0.5536702129998048,2.6259217009996974,2.7076250569998592,0.1489553679998607,2.85658042499972,0.0284777343851972,0.0286154475368935
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131225,2719.558135617732,27195.58135617732,27195.58135617732,1.5173878673806466e-14,3.524061590809717e-15,0.6999731985629748,0.4899624787064818,32593920.0,418.0,418.0,418.0,cupy,788,788.0,0.3610229390001223,0.3648449060001439,1.7031065969999872,1.784529220999957,0.1720930589999625,1.95662227999992,0.0284777478002042,0.0286154392877785
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,10.25414177370542,48256.9328440468,5.593704489488172,19700.547807268147,197005.47807268144,197005.47807268144,9.19534463250679e-15,1.891405589847731e-15,0.4943272967493705,0.2443594763115402,43061248.0,290.0,290.0,290.0,cupy,1891,1891.0,0.237172248999741,0.2418354110000109,3.471488666999903,3.6422670359997937,0.1506391420002728,3.7929061780000666,0.0278779711385579,0.0278587069881309
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,10.25414177370542,48256.9328440468,5.59370448948817,8161.583017237361,81615.83017237361,81615.83017237361,2.6614818437158513e-14,3.0958230057288548e-15,0.5128928339900036,0.2630590591582974,64591872.0,418.0,418.0,418.0,cupy,1278,1278.0,0.3553223760000037,0.3600807969996822,2.5220867799998814,2.696764530999644,0.1751059600001099,2.871870490999754,0.0278773710898042,0.0278581545583828
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,10.25414177370542,48256.9328440468,5.59370448948817,4196.318237929804,41963.18237929804,41963.18237929804,6.003258631544003e-14,5.4898768966096105e-15,0.5345894443539361,0.28578587401465,86122496.0,546.0,546.0,546.0,cupy,916,916.0,1.7931871310001952,1.798011411999596,3.373645691999627,3.5445126139998138,0.1984975519999352,3.743010165999749,0.02787742773032,0.027858211099732
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,295.1563404084071,637241.9886325274,7.960067707974597,19697.1061823836,196971.061823836,196971.061823836,8.668464372505816e-15,1.80742645540676e-15,0.8447793183550701,0.7136520967204569,10915840.0,290.0,290.0,290.0,cupy,1340,1340.0,0.2989459139998871,0.3023569430001771,2.6040065229999527,2.7746291010003006,0.1470936770001571,2.9217227780004578,0.0278766786749407,0.0278575258999389
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,295.1563404084071,637241.9886325274,7.960067707974597,8158.319468406444,81583.19468406444,81583.19468406444,5.779213386832857e-14,2.8803620353584893e-15,0.940516739095007,0.8845717365179054,16373760.0,418.0,418.0,418.0,cupy,948,948.0,0.3579199519999747,0.361283562999688,1.952210833999743,2.144670870000027,0.1749079549999805,2.319578825000008,0.0278763670603067,0.0278571831220031
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,55.2010523946633,204445.1560834745,6.923593269353336,19700.23255928971,197002.3255928971,197002.3255928971,9.388956965736896e-15,1.856137306590448e-15,0.707455741167279,0.5004936257105441,21729280.0,290.0,290.0,290.0,cupy,1657,1657.0,0.2372264219998214,0.2409402330004013,3.0427619699999013,3.214974271999836,0.1490090359998248,3.3639833079996606,0.027877046331273,0.027857860978632
